Diagonisis Code,Disease,Description,Common Symptomps,Medicine,Doctor,Doctor's Number,Doctor's Address
16590-198,Salicaceae,"Breakdown (mechanical) of insulin pump, sequela",Primary iridocyclitis,Propoxyphene,Kaleb Gilcriest,(243) 9254947,56 Waywood Point
43857-0097,Rosaceae,Acute suppurative otitis media with spontaneous rupture of ear drum,Sprain of jaw,Anxiety,Phoebe Buckmaster,(627) 9573640,9 Kingsford Street
64942-1293,Portulacaceae,"Other specified joint disorders, wrist",Jt stiffness NEC-ankle,Suave,Robin Abarough,(854) 3369127,72539 Valley Edge Court
11673-250,Parmeliaceae,"Corrosion of unspecified degree of unspecified palm, initial encounter",Medical misadventure NEC,up and up cold relief,Tallia Bolesma,(541) 5204677,8 Johnson Trail
33992-2360,Verbenaceae,"Priapism, drug-induced",Simp schiz-subchr/exacer,Sleep Aid,Tirrell Slack,(842) 6228468,46611 Reinke Trail
0186-0510,Buxbaumiaceae,Exposure to excessive natural heat,Benign mamm dysplas NOS,VIMOVO,Hyacinthie Gaisford,(839) 5630436,4323 Sullivan Court
67253-389,Cladoniaceae,"Complete transverse atypical femoral fracture, left leg, initial encounter for fracture",Ehrlichiosis chafeensis,Doxycycline Hyclate,Richy Reddle,(250) 3408403,185 Scoville Park
62011-0093,Violaceae,Paratyphoid fever B,Poisoning-parathyroids,Childrens Cetirizine Hydrochloride,Edin Kalderon,(554) 2826217,88 Fremont Crossing
55312-922,Poaceae,"Dislocation of unspecified parts of unspecified shoulder girdle, initial encounter",Eye & vision examination,Mucus Relief,Jaclin Paolone,(607) 3986084,0 Homewood Alley
43846-0023,Liliaceae,"Pathological fracture in neoplastic disease, right shoulder, subsequent encounter for fracture with malunion",Senile psychosis NEC,Tendon Rescue,Katuscha Stanyforth,(650) 5375608,22897 Packers Court
67172-016,Poaceae,"Benign neoplasm of connective and other soft tissue of left upper limb, including shoulder",Nonparaly polio-type NOS,Chloraseptic Sore Throat Liquid Center,Dunn Wallett,(720) 9505670,1 Fair Oaks Parkway
0149-0478,Pottiaceae,"Displaced Maisonneuve's fracture of unspecified leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",Viral arthritis-up/arm,ACTONEL,Nickey Berkley,(932) 7982734,363 Bartillon Trail
55154-5667,Agavaceae,"Menstrual migraine, intractable, without status migrainosus",Mal neo esophagus NOS,Torsemide,Olly Howson,(677) 3314219,2507 Northport Street
63629-4442,Poaceae,"Strain of other specified muscles and tendons at ankle and foot level, left foot, subsequent encounter",Mal neo postcricoid,Diazepam,Tabb Longfoot,(908) 9302263,936 Esch Lane
66472-029,Solanaceae,"Laceration without foreign body of unspecified breast, initial encounter",Lipoma spermatic cord,HELLO FLAWLESS OXYGEN WOW Broad Spectrum SPF 25 BRIGHTENING MAKEUP - BELIEVE IN ME,Adi Claiden,(808) 7493827,9 Tomscot Alley
67405-450,Gesneriaceae,"Subluxation of proximal interphalangeal joint of left index finger, sequela",Anim drawn-occ st car,Ciclopirox,Kathy Kloisner,(862) 7459911,27 Express Drive
13537-337,Fabaceae,"Laceration of muscle, fascia and tendon of triceps",Margin zone lym thorax,ESIKA,Mommy Veighey,(552) 9911041,67100 Goodland Lane
49349-536,Bromeliaceae,"Drowning and submersion after fall into bathtub, undetermined intent",Effects of lightning,Furosemide,Thurstan Storrar,(741) 8670492,2486 Amoth Way
54868-1744,Ericaceae,Unspecified traumatic spondylolisthesis of sixth cervical vertebra,Poisoning-succinimides,Dexamethasone,Raphaela Turnpenny,(219) 1995042,5706 Blue Bill Park Parkway
49589-101,Callitrichaceae,"Fracture of other part of scapula, right shoulder, initial encounter for open fracture",Goodpasture's syndrome,Perio GS,Berky Chestney,(551) 6455016,81 Aberg Circle
43419-509,Ranunculaceae,"Poisoning by chloramphenicol group, undetermined, initial encounter",Transv vaginal septum,AMOREPACIFIC,Dunstan Niess,(392) 4568798,8080 Nelson Trail
55289-969,Potamogetonaceae,"Open bite, right foot",Rubella-postpartum,Lyrica,Emlyn Howorth,(774) 4865196,980 Anderson Park
0409-7984,Fumariaceae,Exposure to sofa fire,Postpart care-lactation,Sodium Chloride,Munmro Scrammage,(582) 6049182,9983 Scott Way
41167-1601,Asteraceae,Cellulitis and acute lymphangitis of trunk,Sec hyperparathyrd-renal,Flexall Pain Relieving,Norry Sains,(198) 4777216,91828 Maple Wood Trail
42549-606,Thelypteridaceae,"Other specified disorders of synovium, right hand",Brain neoplasm NOS,Flector,Elisha Thredder,(916) 4606470,1 Talisman Circle
0363-0627,Asclepiadaceae,"Nondisplaced fracture of fifth metatarsal bone, unspecified foot, subsequent encounter for fracture with nonunion",Coxsackie virus NEC,Dye Free NIghttime Sleep Aid,Charlotta Dayce,(910) 2166198,39 Nelson Way
65044-2360,Blechnaceae,"Poisoning by selective serotonin reuptake inhibitors, intentional self-harm, subsequent encounter",Family hx-skin condition,"Pollens - Trees, Olive, Russian Elaeagnus angustifolia",Clemmy Kmietsch,(968) 4019141,911 7th Plaza
42549-518,Poaceae,"Poisoning by antineoplastic and immunosuppressive drugs, accidental (unintentional), subsequent encounter",Rupture of synovium NEC,Ibuprofen,Mathilda Cratere,(803) 3144342,72266 Morning Court
55714-1705,Poaceae,"Nondisplaced fracture of triquetrum [cuneiform] bone, left wrist, subsequent encounter for fracture with nonunion",2nd deg burn nose,Constipation,Dorie Luscott,(273) 9481349,6 Haas Avenue
66993-534,Ranunculaceae,Other specified injuries unspecified forearm,Status amput shoulder,R-Tanna,Baldwin Blewis,(621) 9229496,52 Sherman Hill
36987-3063,Rhamnaceae,Double pterygium of right eye,Total traumatic cataract,Black Walnut,Margret Prisley,(900) 2299339,8938 Springs Terrace
37205-282,Nyctaginaceae,"Nondisplaced longitudinal fracture of right patella, subsequent encounter for open fracture type I or II with nonunion",Heart failure NOS,Leader Ibuprofen,Matelda Coggan,(173) 6223697,7 Summer Ridge Parkway
55312-063,Poaceae,"Pauciarticular juvenile rheumatoid arthritis, unspecified hip",Opn wnd ex ear NOS-compl,Western Family,Lorry MacIlhagga,(813) 3247649,201 Crownhardt Park
0093-0129,Caryophyllaceae,"Leakage of surgically created arteriovenous shunt, subsequent encounter",Hyperostosis of skull,Estazolam,Esta Dolan,(577) 5475308,696 Center Circle
49781-080,Poaceae,"Other fracture of unspecified patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",N-traf brd/alit-pedest,Pediatric Glycerin Laxative,Edita Gronauer,(789) 3850819,702 Charing Cross Lane
34645-3031,Myrtaceae,"Other intraarticular fracture of lower end of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",Avulsion of eye,Alcohol Prep Pad,Vivi Hatchman,(481) 5306153,5327 Westerfield Circle
49348-038,Asteraceae,"Pathological fracture in other disease, left ulna, subsequent encounter for fracture with malunion",Bipolar disorder NOS,Sunmark sore throat,Jody Bain,(946) 4529808,228 Meadow Vale Lane
52810-703,Polytrichaceae,Other varicella complications,Fx mandible body NEC-opn,SORE MUSCLE AND JOINT PAIN RELIEF,Alfie Lammert,(113) 1968727,4 Veith Park
57955-0023,Amaranthaceae,Drowning and submersion due to falling or jumping from other crushed unpowered watercraft,Diphtheritic peritonitis,Hemorrhoid Relief,Marybeth Vater,(336) 7462194,1 Forest Dale Avenue
43068-104,Apocynaceae,"Salter-Harris Type I physeal fracture of lower end of radius, unspecified arm, subsequent encounter for fracture with malunion",Routine circumcision,Fanapt,Merrili Elles,(881) 1915578,10 Ryan Drive
50988-177,Sapindaceae,"Pathological fracture in neoplastic disease, right foot, subsequent encounter for fracture with malunion",Lacriml punctum stenosis,Antibacterial Foaming Hand Cleanser,Clarine Corss,(723) 8635942,50703 Village Junction
36987-3247,Ericaceae,"Otosclerosis involving oval window, obliterative, left ear",Open wound of upper arm,Burweed Marsh Elder,Shelly Annets,(283) 3459869,62 Pawling Parkway
68016-460,Lecanoraceae,"Displaced intertrochanteric fracture of left femur, subsequent encounter for open fracture type I or II with delayed healing",Chr kidney dis stage III,Premier Value Bisacodyl Laxative,Miof mela Nappin,(716) 7846095,3475 Pond Pass
65162-957,Campanulaceae,"Contact with running hot water, initial encounter",Mixed lymphosarc pelvic,Esomeprazole strontium,Alvie Hyrons,(444) 7366432,58575 Southridge Hill
45984-0002,Cactaceae,Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration,Matern nutrit dis aff NB,NeobryXol Forte,Korie Andryushchenko,(906) 5551493,2066 Sutherland Court
0093-7456,Orchidaceae,"Unspecified injury of other specified muscles and tendons at ankle and foot level, unspecified foot, initial encounter",Ab NOS w compl NOS-unsp,Glipizide and Metformin Hydrochloride,Doralia Kesper,(947) 1730327,42 Calypso Drive
41520-431,Ericaceae,Adverse effect of caffeine,Histoplasmosis endocard,careone nighttime sleep aid,Thatch Gervaise,(324) 9314190,66121 Norway Maple Way
52125-544,Asteraceae,Encounter for screening for human papillomavirus (HPV),Unil cleft palat/lip-inc,Clindamycin Hydrochloride,Belita Dash,(395) 4639352,46 Sunnyside Court
49288-0052,Poaceae,"Other fracture of unspecified patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",Twin pregnancy-delivered,Beet,Xerxes Bysouth,(169) 8400973,704 Algoma Place
63824-338,Anacardiaceae,"Toxic effect of venom of other African and Asian snake, undetermined, subsequent encounter",Opn wound site NOS-compl,Clearasil Ultra,Gracia Kenningham,(596) 9614410,90718 Mesta Trail
59863-325,Poaceae,"Corrosion of unspecified degree of female genital region, subsequent encounter",Ca in situ uterus NEC,Oxygen,Gene Wrathmell,(966) 4800702,8498 International Street
53808-0822,Polemoniaceae,"Arthropathy following intestinal bypass, wrist",Cholelithias NOS w obstr,MAPAP,Mariette Spiteri,(256) 1044126,36496 Kingsford Court
55154-5070,Polygalaceae,"Displaced fracture of base of second metacarpal bone, right hand",Hamartoses NEC,Glimepiride,Mahmud Tonbridge,(563) 9316433,60892 Dawn Trail
21695-538,Asteraceae,Unspecified fracture of first metacarpal bone,Acc poisn-cardiovasc agt,Hydrochlorothiazide,Caresa Broddle,(329) 5988010,502 Coleman Plaza
52959-053,Scrophulariaceae,"Unspecified injury of muscle, fascia and tendon of right hip, sequela",Joint pain-ankle,Diphenhydramine,Basil Tanti,(891) 6288068,10 Derek Point
0378-0186,Hydrangeaceae,"Corrosion of unspecified degree of multiple sites of right shoulder and upper limb, except wrist and hand",Transient visual loss,Clonidine Hydrochloride,Jacinda Van de Velde,(573) 2296458,05938 Dennis Street
62802-495,Fagaceae,Meniere's disease,Solitary cyst of breast,Bull Frog Marathon Mist 50,Hadleigh Alder,(319) 1841482,752 Beilfuss Hill
68786-122,Iridaceae,"Displaced fracture of lateral malleolus of left fibula, initial encounter for open fracture type IIIA, IIIB, or IIIC",Stress fx pelvis,alcohol,Kellia Durnall,(554) 2338099,9 Oak Valley Trail
13537-339,Gyalectaceae,"Strain of long flexor muscle, fascia and tendon of left thumb at wrist and hand level, sequela",Adv eff bcg vaccine,ESIKA,Marja Muller,(438) 4292575,5442 Clyde Gallagher Center
0378-2516,Parmeliaceae,"Dust storm, subsequent encounter",Open wound of back,Fluconazole,Junina Dunne,(956) 6462935,2424 Ridge Oak Avenue
0615-6580,Poaceae,Other voice and resonance disorders,Polycyst kid-autosom rec,Simvastatin,Verney Paylie,(569) 3779221,2 Lunder Center
0363-0571,Orchidaceae,"Displaced intertrochanteric fracture of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",TB lung w cavity-cult dx,wal fex allergy,Auberon Caddell,(101) 8879102,18 Parkside Road
43269-819,Asteraceae,"Hypotony of eye due to other ocular disorders, bilateral",Brain hem opn w/o coma,Pomegranate Spice Antibacterial Hand Wash,Corrinne Cannell,(170) 3882862,8482 Anderson Terrace
30142-264,Apiaceae,"Corrosion of second degree of multiple fingers (nail), not including thumb",Basketball,Daily Acne Control Cleanser,Fredric Spraggon,(644) 7513599,92492 Wayridge Plaza
54305-976,Brassicaceae,"Strain of long flexor muscle, fascia and tendon of right thumb at wrist and hand level",Drug withdrawal,SUGAR FREE SWISS CHERRY HERB THROAT DROPS,Bevan Pinson,(490) 9429836,3 Warner Avenue
42388-012,Brassicaceae,Asymptomatic microscopic hematuria,Yaws manifestations NEC,COMETRIQ,Donn Vaan,(466) 6168903,21263 Bashford Road
57520-0333,Fabaceae,Puncture wound without foreign body of unspecified back wall of thorax with penetration into thoracic cavity,Ac cerebrovasc insuf NOS,HCG with Slimming Herbs,Raine Quadrio,(745) 9463013,328 Spaight Circle
51346-209,Cyperaceae,"Driver of bus injured in collision with other motor vehicles in nontraffic accident, sequela",Oth off-road mv acc-psgr,UV LOCK FLOWER 3 PROOF SUN,Hort Haime,(595) 1509081,05 Springview Plaza
60533-012,Cyperaceae,Candidal sepsis,RR acc w derail-passeng,Vanilla sugar anti-bacterial SCENTED HAND SANITIZER,Dorie Fellona,(643) 2153187,27064 Dwight Hill
55513-546,Portulacaceae,"Burn of third degree of right wrist, initial encounter",Screen by amniocent NEC,NEUPOGEN,Jody Karolovsky,(126) 8434329,1340 Lien Center
36987-2178,Onagraceae,"Displaced fracture of posterior wall of left acetabulum, subsequent encounter for fracture with routine healing",3rd deg burn mult site,Wheat Bunt,Andris Valintine,(777) 6952186,62393 Glacier Hill Court
16590-284,Proteaceae,Encounter for antineoplastic radiation therapy,Eclampsia-delivered,FUROSEMIDE,Yale Beebe,(300) 3829193,47 Graedel Avenue
64127-135,Rhizocarpaceae,Encounter for screening for metabolic disorder,Acute cystitis,GMC Medical,Hamnet Coggen,(905) 8921889,1078 Commercial Point
43353-944,Lygodiaceae,"Strain of other muscle(s) and tendon(s) at lower leg level, left leg, subsequent encounter",Hydatidiform mole,Metoprolol Tartrate,Corrina Bicker,(213) 8805213,11 Walton Terrace
50419-451,Callitrichaceae,"Strain of muscle(s) and tendon(s) of the rotator cuff of left shoulder, initial encounter",Other vd-postpartum,Climara,Natal Yukhnini,(107) 6584401,708 Cascade Way
55289-453,Verrucariaceae,"Congenital absence, atresia and stenosis of rectum without fistula",Artic cartil dis-pelvis,Daypro,Nadya Degnen,(647) 4817520,72 Spohn Parkway
50991-783,Commelinaceae,"Superficial foreign body of other finger, sequela",Erythma multiforme minor,ALA-HIST IR,Lenore McManamon,(198) 6361388,73 Grasskamp Place
60512-1039,Juncaceae,"Person on outside of bus injured in noncollision transport accident in traffic accident, subsequent encounter",Ac pept ulc hem/perf-obs,PULSATILLA,Shina Feechan,(818) 7061436,62630 Straubel Center
0113-0964,Fabaceae,"Unspecified injury of other muscles, fascia and tendons at shoulder and upper arm level, right arm, sequela",Fmily dsrpt-fam military,good sense flu and severe cold and cough,Jerry Assard,(575) 8143265,6 Nevada Street
64942-1296,Isoetaceae,"Birth injury to peripheral nervous system, unspecified",Constant exophthalmos,St. Ives,Gerty Coomes,(106) 5467574,45336 Judy Way
55289-176,Apiaceae,"Strain of other muscle(s) and tendon(s) at lower leg level, unspecified leg, sequela",Crushing injury of wrist,Sulfasalazine,Engracia Gothrup,(168) 4747417,97 Judy Circle
63629-1734,Cyperaceae,"Minor laceration of greater saphenous vein at hip and thigh level, unspecified leg, sequela",Fmily dsrpt-ret military,Diphenoxylate Hydrochloride and Atropine Sulfate,Francois Ramelet,(992) 8986308,25 Farragut Circle
35356-638,Caprifoliaceae,Fall into natural body of water striking side causing other injury,TB of eye-micro dx,FENTANYL TRANSDERMAL SYSTEM,Klarrisa Eyer,(474) 9740034,3784 Trailsway Terrace
54868-5334,Commelinaceae,"Poisoning by therapeutic gases, intentional self-harm, initial encounter",Spleen capsular tear-opn,Dexamethasone,Jeddy Britcher,(177) 3175571,4 Fisk Center
50730-7801,Polytrichaceae,"Fracture of unspecified part of body of mandible, unspecified side, subsequent encounter for fracture with nonunion",Arbovirus enceph vaccin,Daily Cleansing,Fairfax McHardy,(158) 4361224,9682 Sachtjen Drive
67296-0616,Fabaceae,"Displaced spiral fracture of shaft of radius, right arm, initial encounter for closed fracture",Spf sts - kpsi's sarcoma,Amoxicillin,Stern Franies,(341) 2037712,69 High Crossing Pass
58668-4071,Fabaceae,"Ocular hypertension, right eye",Ac osteomyelitis-pelvis,CLARINS BROAD SPECTRUM SPF 20 - SUNSCREEN CARE MILK,Constancia Bayley,(956) 1320130,7 Swallow Avenue
52125-256,Cactaceae,"Drowning and submersion due to fall off (nonpowered) inflatable craft, subsequent encounter",Flushing,Hydralazine Hydrochloride,Alys Clubb,(494) 8604132,5 Scoville Plaza
10596-337,Cyperaceae,"Unspecified nondisplaced fracture of fifth cervical vertebra, sequela",Rabies,Ban,Rebeca Clemendot,(181) 7665587,896 Milwaukee Lane
55111-199,Iridaceae,"Nondisplaced segmental fracture of shaft of unspecified tibia, subsequent encounter for open fracture type I or II with malunion",Inf mcrg rstn qn flrq ml,Simvastatin,Leola Brearty,(195) 1798844,3 Grim Circle
